CNID,Cn_No,from_location,To_Location,Booking_Date,Loading_Date,Unloading_Date,Truck_Freight,Advance_Amount,Balance_Amount,Innam,Extra_TF,total_fare,consignee_id,consigner_id,Vehicle_No_id
1,,1,2,12/9/2024,12/9/2024,12/12/2024,92060,82060,35000,15000,10000,117060,1,1,1
2,,1,2,12/9/2024,12/9/2024,12/12/2024,51230,71500,4730,15000,10000,76230,1,1,2
3,,1,2,12/11/2024,12/11/2024,12/14/2024,216450,78540,162910,15000,10000,241450,2,1,3
4,,1,2,12/11/2024,12/11/2024,12/14/2024,241640,175940,90700,15000,10000,266640,3,1,1
5,,1,2,12/11/2024,12/11/2024,12/14/2024,208860,0,233860,15000,10000,233860,4,1,4
6,,1,2,12/12/2024,12/12/2024,12/15/2024,215790,161510,79280,15000,10000,240790,1,1,5
7,,1,2,12/12/2024,12/12/2024,12/15/2024,229320,136320,118000,15000,10000,254320,3,1,6
8,,1,2,12/13/2024,12/13/2024,12/16/2024,256160,254370,26790,15000,10000,281160,5,1,7
9,,1,2,12/14/2024,12/14/2024,12/17/2024,224260,128260,121000,15000,10000,249260,1,1,8
10,,1,2,12/14/2024,12/14/2024,12/17/2024,113930,133320,5610,15000,10000,138930,6,1,9
11,,1,2,12/14/2024,12/14/2024,12/17/2024,249560,159820,114740,15000,10000,274560,3,1,10
12,,1,2,12/14/2024,12/14/2024,12/17/2024,236140,19140,242000,15000,10000,261140,4,1,11
13,,1,2,12/14/2024,12/14/2024,12/17/2024,98860,123860,0,15000,10000,123860,7,1,12
14,,1,2,12/15/2024,12/15/2024,12/18/2024,244720,0,269720,15000,10000,269720,3,1,13
15,,1,2,12/15/2024,12/15/2024,12/18/2024,222940,209100,38840,15000,10000,247940,8,1,14
16,,1,2,12/16/2024,12/16/2024,12/19/2024,241750,200750,66000,15000,10000,266750,9,1,15
17,,1,2,12/16/2024,12/16/2024,12/19/2024,235040,53680,206360,15000,10000,260040,1,1,16
18,,1,2,12/16/2024,12/16/2024,12/19/2024,219420,55880,188540,15000,10000,244420,1,1,17
19,,1,2,12/17/2024,12/17/2024,12/20/2024,215680,82940,157740,15000,10000,240680,10,1,18
20,,1,2,12/17/2024,12/17/2024,12/20/2024,243840,239580,29260,15000,10000,268840,11,1,19
