unit,quantity,rate,gi_amount,from_party,to_party,consignment_id,created_at
20KG,271,220,59620,76,1,1,
20KG,140,220,30800,16,16,1,
10KG,204,110,22440,71,71,1,
10KG,95,110,10450,6,6,2,
10KG,468,110,51480,77,8,2,
10KG,43,110,4730,11,11,2,
10KG,43,110,4730,78,40,2,
10KG,44,110,4840,26,26,2,
20KG,655,220,144100,2,521,3,
20KG,81,220,17820,6,6,3,
10KG,79,110,8690,11,11,3,
10KG,79,110,8690,78,40,3,
10KG,79,110,8690,26,26,3,
10KG,92,110,10120,6,6,3,
10KG,276,110,30360,71,71,3,
10KG,92,110,10120,11,11,3,
10KG,26,110,2860,79,53,3,
20KG,685,220,150700,3,3,4,
20KG,360,220,79200,76,1,4,
20KG,109,220,23980,5,5,4,
20KG,58,220,12760,35,35,4,
20KG,454,220,99880,4,32,5,
20KG,390,220,85800,75,20,5,
20KG,219,220,48180,16,53,5,
20KG,205,220,45100,76,1,6,
20KG,185,220,40700,6,6,6,
20KG,65,220,14300,80,20,6,
20KG,72,220,15840,81,15,6,
20KG,69,220,15180,47,47,6,
10KG,28,110,3080,11,11,6,
10KG,27,110,2970,40,40,6,
10KG,27,110,2970,82,82,6,
10KG,81,110,8910,76,1,6,
10KG,278,110,30580,71,71,6,
10KG,117,110,12870,6,6,6,
10KG,7,110,770,5,5,6,
10KG,48,110,5280,79,53,6,
10KG,93,110,10230,9,9,6,
10KG,96,110,10560,83,83,6,
10KG,195,110,21450,84,412,6,
20KG,273,220,60060,3,3,7,
20KG,256,220,56320,76,1,7,
20KG,56,220,12320,85,20,7,
20KG,46,220,10120,86,20,7,
20KG,202,220,44440,4,32,7,
20KG,281,220,61820,16,53,7,
20KG,42,220,9240,87,87,7,
20KG,142,220,31240,5,5,8,
10KG,54,110,5940,75,30,8,
10KG,54,110,5940,87,87,8,
10KG,30,110,3300,74,99,8,
10KG,111,110,12210,47,47,8,
10KG,123,110,13530,71,71,8,
10KG,159,110,17490,6,6,8,
10KG,34,110,3740,40,40,8,
10KG,32,110,3520,88,88,8,
10KG,82,110,9020,1,1,8,
10KG,78,110,8580,43,43,8,
10KG,70,110,7700,89,89,8,
10KG,144,110,15840,13,13,8,
10KG,143,110,15730,90,90,8,
10KG,53,110,5830,79,39,8,
10KG,199,110,21890,83,83,8,
10KG,53,110,5830,79,53,8,
10KG,79,110,8690,26,26,8,
10KG,28,110,3080,74,99,8,
10KG,30,110,3300,91,6,8,
10KG,28,110,3080,91,522,8,
10KG,56,110,6160,92,71,8,
10KG,94,110,10340,11,11,8,
10KG,77,110,8470,47,47,8,
10KG,41,110,4510,1,1,8,
10KG,71,110,7810,93,11,8,
10KG,90,110,9900,13,13,8,
10KG,26,110,2860,94,94,8,
10KG,56,110,6160,89,89,8,
10KG,117,110,12870,90,90,8,
10KG,60,110,6600,83,83,8,
20KG,185,220,40700,6,6,9,
20KG,54,220,11880,95,1,9,
20KG,231,220,50820,76,1,9,
20KG,132,220,29040,2,2,9,
20KG,177,220,38940,35,35,9,
20KG,117,220,25740,5,5,9,
20KG,104,220,22880,9,9,9,
20KG,64,220,14080,85,20,9,
20KG,27,220,5940,80,20,9,
20KG,42,220,9240,86,20,9,
10KG,358,110,39380,6,6,10,
10KG,166,110,18260,43,43,10,
10KG,147,110,16170,84,412,10,
20KG,40,220,8800,47,47,10,
10KG,60,110,6600,96,96,10,
10KG,125,110,13750,87,87,10,
10KG,51,110,5610,97,30,10,
10KG,97,110,10670,56,56,10,
