unit,quantity,rate,gi_amount,from_party_id,to_party_id,consignment_id,party_payment,paid_amount,created_at
20KG,271,220,59620,76,1,1,12/18/2024,59620
20KG,140,220,35000,16,16,1,,
10KG,204,110,22440,71,71,1,12/28/2024,22440
10KG,95,110,10450,6,6,2,12/18/2024,10450
10KG,468,110,51480,77,8,2,12/30/2024,51480
10KG,43,110,4730,11,11,2,,
10KG,43,110,4730,78,40,2,12/23/2024,4730
10KG,44,110,4840,26,26,2,12/26/2024,4840
20KG,655,220,144100,2,521,3,,
20KG,81,220,17820,6,6,3,12/18/2024,17820
10KG,79,110,8690,11,11,3,,
10KG,79,110,8690,78,40,3,12/26/2024,8690
10KG,79,110,8690,26,26,3,12/26/2024,8690
10KG,92,110,10120,6,6,3,12/18/2024,10120
10KG,276,110,30360,71,71,3,1/9/2025,30360
10KG,92,110,10120,11,11,3,,
10KG,26,110,2860,79,53,3,12/18/2024,2860
20KG,685,220,150700,3,3,4,12/15/2024,60000
20KG,360,220,79200,76,1,4,12/20/2024,79200
20KG,109,220,23980,5,5,4,12/26/2024,23980
20KG,58,220,12760,35,35,4,12/19/2024,12760
20KG,454,220,99880,4,32,5,,
20KG,390,220,85800,75,20,5,,
20KG,219,220,48180,16,53,5,,
20KG,205,220,45100,76,1,6,,
20KG,185,220,40700,6,6,6,12/23/2024,40700
20KG,65,220,14300,80,20,6,,
20KG,72,220,15840,81,15,6,,
20KG,69,220,15180,47,47,6,1/25/2025,15180
10KG,28,110,3080,11,11,6,,
10KG,27,110,2970,40,40,6,12/26/2024,2970
10KG,27,110,2970,82,82,6,1/25/2025,2970
10KG,81,110,8910,76,1,6,1/25/2025,8910
10KG,278,110,30580,71,71,6,1/13/2025,30580
10KG,117,110,12870,6,6,6,12/23/2024,12870
10KG,7,110,770,5,5,6,12/26/2024,770
10KG,48,110,5280,79,53,6,12/31/2024,5280
10KG,93,110,10230,9,9,6,1/25/2025,10230
10KG,96,110,10560,83,83,6,12/26/2024,9600
10KG,195,110,21450,84,412,6,12/30/2024,21450
20KG,273,220,60060,3,3,7,12/15/2024,80000
20KG,256,220,56320,76,1,7,1/6/2025,56320
20KG,56,220,12320,85,20,7,,
20KG,46,220,10120,86,20,7,,
20KG,202,220,44440,4,32,7,,
20KG,281,220,61820,16,53,7,,
20KG,42,220,9240,87,87,7,,
20KG,142,220,31240,5,5,8,12/28/2024,31240
10KG,54,110,5940,75,30,8,,
10KG,54,110,5940,87,87,8,12/28/2024,5940
10KG,30,110,3300,74,99,8,12/28/2024,3300
10KG,111,110,12210,47,47,8,12/28/2024,12210
10KG,123,110,13530,71,71,8,1/2/2025,13530
10KG,159,110,17490,6,6,8,12/28/2024,17490
10KG,34,110,3740,40,40,8,12/28/2024,3740
10KG,32,110,3520,88,88,8,12/28/2024,3520
10KG,82,110,9020,1,1,8,12/26/2024,9020
10KG,78,110,8580,43,43,8,12/28/2024,5880
10KG,70,110,7700,89,89,8,12/31/2024,7700
10KG,144,110,15840,13,13,8,12/30/2024,15840
10KG,143,110,15730,90,90,8,12/26/2024,15730
10KG,53,110,5830,79,39,8,12/28/2024,5830
10KG,199,110,21890,83,83,8,12/28/2024,21890
10KG,53,110,5830,79,53,8,12/28/2024,5830
10KG,79,110,8690,26,26,8,1/2/2025,8690
10KG,28,110,3080,74,99,8,12/28/2024,3080
10KG,30,110,3300,91,6,8,12/28/2024,3300
10KG,28,110,3080,91,522,8,12/30/2024,3080
10KG,56,110,6160,92,71,8,1/2/2025,6160
10KG,94,110,10340,11,11,8,,
10KG,77,110,8470,47,47,8,12/28/2024,8470
10KG,41,110,4510,1,1,8,12/26/2024,4510
10KG,71,110,7810,93,11,8,,
10KG,90,110,9900,13,13,8,12/30/2024,9900
10KG,26,110,2860,94,94,8,12/28/2024,2860
10KG,56,110,6160,89,89,8,12/31/2024,6160
10KG,117,110,12870,90,90,8,12/26/2024,12870
10KG,60,110,6600,83,83,8,12/28/2024,6600
20KG,185,220,40700,6,6,9,12/23/2024,40700
20KG,54,220,11880,95,1,9,,
20KG,231,220,50820,76,1,9,,
20KG,132,220,29040,2,2,9,,
20KG,177,220,38940,35,35,9,1/10/2025,38940
20KG,117,220,25740,5,5,9,12/26/2024,25740
20KG,104,220,22880,9,9,9,1/25/2025,22880
20KG,64,220,14080,85,20,9,,
20KG,27,220,5940,80,20,9,,
20KG,42,220,9240,86,20,9,,
10KG,358,110,39380,6,6,10,12/25/2024,39380
10KG,166,110,18260,43,43,10,12/25/2024,18260
10KG,147,110,16170,84,412,10,12/25/2024,16170
20KG,40,220,8800,47,47,10,12/27/2024,8800
10KG,60,110,6600,96,96,10,12/25/2024,6600
10KG,125,110,13750,87,87,10,12/25/2024,13750
10KG,51,110,5610,97,30,10,,
10KG,97,110,10670,56,56,10,12/25/2024,10670
10KG,116,110,12760,71,71,10,12/25/2024,12760
10KG,63,110,6930,83,83,10,12/25/2024,6930
20KG,475,220,104500,3,3,11,12/19/2024,120000
20KG,130,220,28600,5,5,11,12/26/2024,28600
20KG,188,220,41360,2,2,11,,
20KG,51,220,11220,9,9,11,1/25/2025,11220
20KG,404,220,88880,16,16,11,,
20KG,732,220,161040,4,32,12,,
20KG,141,220,31020,76,1,12,,
20KG,87,220,19140,35,35,12,1/10/2025,19140
20KG,50,220,11000,98,29,12,,
20KG,25,220,5500,85,20,12,,
20KG,152,220,33440,10,10,12,,
10KG,1126,110,123860,7,7,13,12/26/2024,123860
20KG,379,220,83380,3,3,14,,
20KG,245,220,53900,16,16,14,,
20KG,196,220,43120,2,2,14,,
20KG,406,220,89320,4,32,14,,
10KG,43,110,4730,91,6,15,1/6/2025,4730
10KG,30,110,3300,91,522,15,1/6/2025,3300
20KG,52,220,11440,47,47,15,1/6/2025,11440
10KG,114,110,12540,56,56,15,1/6/2025,12540
10KG,19,110,2090,30,30,15,,
10KG,72,110,7920,99,99,15,1/6/2025,7920
10KG,74,110,8140,99,99,15,1/6/2025,8140
10KG,21,110,2310,30,30,15,,
10KG,158,110,17380,93,11,15,,
10KG,83,110,9130,6,6,15,1/6/2025,9130
10KG,93,110,10230,40,40,15,1/6/2025,10230
10KG,154,110,16940,43,43,15,1/6/2025,16940
10KG,271,110,29810,77,8,15,1/6/2025,29810
10KG,120,110,13200,100,100,15,,
10KG,26,110,2860,87,87,15,1/6/2025,2860
10KG,36,110,3960,11,11,15,1/6/2025,3960
10KG,168,110,18480,83,83,15,1/6/2025,18480
10KG,36,110,3960,82,82,15,1/6/2025,2960
10KG,82,110,9020,61,61,15,1/6/2025,9020
10KG,73,110,8030,6,6,15,1/6/2025,8030
10KG,43,110,4730,89,89,15,1/6/2025,4730
10KG,87,110,9570,90,90,15,1/6/2025,9570
10KG,72,110,7920,13,13,15,1/6/2025,7920
10KG,26,110,2860,29,29,15,,
10KG,179,110,19690,71,71,15,1/6/2025,19690
10KG,70,110,7700,9,9,15,1/25/2025,7700
20KG,59,220,12980,76,1,16,,
20KG,126,220,27720,101,523,16,,
20KG,115,220,25300,81,15,16,,
20KG,31,220,6820,9,9,16,1/9/2025,6820
10KG,99,110,10890,102,102,16,1/9/2025,10890
10KG,50,110,5500,103,71,16,1/9/2025,5500
10KG,50,110,5500,103,11,16,1/9/2025,5500
10KG,109,110,11990,9,9,16,1/9/2025,11990
10KG,197,110,21670,56,56,16,1/9/2025,21670
10KG,68,110,7480,7,7,16,1/9/2025,7480
